State,District,Latitude,Longitude,District code,District name,Population,Male_Literate,Female_Literate,Households_with_Internet,Housholds_with_Electric_Lighting,Rural_Households,Sex_Ratio,Literacy_ratte
Tripura,West Tripura,23.780166241299337,91.41310788863107,289,West Tripura,1725739,722998,638356,6394,314567,289621,96.0,79.0
Uttar Pradesh,Agra,26.99512974910393,78.05278291517321,146,Agra,4418797,1614594,1065916,27183,536402,496971,87.0,61.0
Uttar Pradesh,Aligarh,27.93748576850093,78.00146831119557,143,Aligarh,3673889,1283380,809187,13634,268120,582117,88.0,57.0
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,175,Allahabad,5954391,2199340,1466387,24122,391542,983266,90.0,62.0
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,178,Ambedkar Nagar,2397888,846676,640263,2509,99581,501559,98.0,62.0
Uttar Pradesh,Auraiya,26.66892394014961,79.42637057356607,162,Auraiya,1379545,546198,384638,2404,65479,255836,86.0,67.0
Uttar Pradesh,Azamgarh,26.008290954773837,83.01220251256285,191,Azamgarh,4613913,1559414,1212503,6652,183381,891024,102.0,60.0
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139,Baghpat,1303048,489858,308112,2989,119121,246055,86.0,61.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180,Bahraich,3487731,878285,520083,2681,85814,698520,89.0,40.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193,Ballia,3239774,1160960,802630,4672,119972,564927,94.0,61.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182,Balrampur,2148665,544943,323414,1551,57400,410070,93.0,40.0
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170,Banda,1799410,630626,372311,1655,73522,378056,86.0,56.0
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176,Bara Banki,3260699,1010518,681940,3159,108116,635840,91.0,52.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150,Bareilly,4448359,1342697,849062,15164,272830,631613,89.0,49.0
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185,Basti,2464464,819719,574064,3423,108101,513960,96.0,57.0
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,134,Bijnor,3682713,1241471,893922,7303,268353,683875,92.0,58.0
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,142,Bulandshahr,3499171,1253314,778342,7865,223922,658449,90.0,58.0
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,196,Chandauli,1952756,699454,475152,3492,99602,344937,92.0,60.0
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,171,Chitrakoot,991730,330339,200733,827,41046,207237,88.0,54.0
Uttar Pradesh,Deoria,26.42218856548857,83.8244070686071,190,Deoria,3100946,1079288,795951,4469,150001,597778,102.0,60.0
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,201,Etah,1774480,647042,408160,2635,69591,334246,87.0,59.0
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,161,Etawah,1581810,623583,438420,2964,113098,265643,87.0,67.0
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,177,Faizabad,2470996,838339,612562,4746,127754,510378,96.0,59.0
Uttar Pradesh,Farrukhabad,27.45063297872342,79.4406284574468,159,Farrukhabad,1885204,654827,437850,2624,88081,316647,87.0,58.0
Uttar Pradesh,Fatehpur,25.8374362030905,80.85416203090509,172,Fatehpur,2632733,911003,601163,3385,75263,558807,90.0,57.0
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,147,Firozabad,2498156,912314,609492,5834,196080,349747,88.0,61.0
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532465,141,Gautam Buddha Nagar,1648115,666065,456882,53181,257586,170835,85.0,68.0
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,140,Ghaziabad,4681645,1811397,1311867,78116,695130,355407,88.0,67.0
Uttar Pradesh,Ghazipur,25.624724775583484,83.5360854578097,195,Ghazipur,3620268,1293553,903996,5309,105767,700173,95.0,61.0
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,183,Gonda,3433919,1034181,645813,4313,104084,673578,92.0,49.0
Uttar Pradesh,Gorakhpur,26.63315886792452,83.3549560377358,188,Gorakhpur,4440895,1593890,1106438,14597,296619,761958,95.0,61.0
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,155,Hardoi,4092845,1374587,847014,3845,95508,786613,87.0,54.0
Uttar Pradesh,Jalaun,26.067954587155988,79.36686911314993,165,Jalaun,1689974,653430,421766,2217,104176,304856,87.0,64.0
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,194,Jaunpur,4494204,1565394,1166283,8002,181467,926088,102.0,61.0
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,166,Jhansi,1998603,783705,520808,8517,183340,309592,89.0,65.0
Uttar Pradesh,Jyotiba Phule Nagar,28.870498984771597,78.39009365482241,137,Jyotiba Phule Nagar,1840221,600541,382569,2825,89329,335888,91.0,53.0
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,160,Kannauj,1656616,603596,413491,2488,61491,299785,88.0,61.0
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,163,Kanpur Dehat,1796184,692964,477279,2682,49753,363933,86.0,65.0
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,174,Kaushambi,1599596,507279,306145,1503,43753,349856,91.0,51.0
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461007,189,Kushinagar,3564544,1183722,771098,3486,127331,742324,96.0,55.0
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,167,Lalitpur,1221592,397586,243605,1079,77082,258013,91.0,52.0
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,157,Lucknow,4589838,1742440,1384820,68506,582769,344155,92.0,68.0
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,169,Mahoba,875958,302283,185823,1316,42936,198298,88.0,56.0
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,148,Mainpuri,1868529,712110,491775,2642,79022,338475,88.0,64.0
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,145,Mathura,2547184,943346,564400,8726,281239,407488,86.0,59.0
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,192,Mau,2205968,773082,589962,2656,149908,352207,98.0,62.0
Uttar Pradesh,Meerut,29.02957625698323,77.80611005586593,138,Meerut,3443689,1254520,886968,23717,425624,381520,89.0,62.0
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,199,Mirzapur,2496970,865837,562846,4447,145997,465152,90.0,57.0
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423597,135,Moradabad,4772006,1357435,906413,11690,281758,692398,91.0,47.0
Uttar Pradesh,Muzaffarnagar,29.470507977736563,77.64017847866423,133,Muzaffarnagar,4143512,1448528,968811,10077,368153,673746,89.0,58.0
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,151,Pilibhit,2031007,654290,406805,2870,83006,371752,89.0,52.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,131,Pratapgarh,867848,250122,151393,716,71612,209813,98.0,46.0
Uttar Pradesh,Pratapgarh,25.864842731707316,81.93530048780492,173,Pratapgarh,3209141,1121381,810178,5149,140538,711085,100.0,60.0
Uttar Pradesh,Rae Bareli,26.253902840059787,81.22260463378181,158,Rae Bareli,3405559,1165965,799878,5184,247856,705025,94.0,58.0
Uttar Pradesh,Rampur,28.83244727272725,79.10977333333337,136,Rampur,2335819,630408,413258,3847,131112,396775,91.0,45.0
Uttar Pradesh,Saharanpur,30.03381165217392,77.59905147826095,132,Saharanpur,3466382,1220114,856994,9699,404499,605082,89.0,60.0
Uttar Pradesh,Sant Kabir Nagar,26.791596516393444,83.0387764344262,186,Sant Kabir Nagar,1715183,567098,387851,2031,79525,324972,97.0,56.0
Uttar Pradesh,Shahjahanpur,27.991389350649328,79.8302275324675,152,Shahjahanpur,3006538,915142,575788,3889,115163,520289,87.0,50.0
Uttar Pradesh,Sitapur,27.501995963091108,80.85288881199547,154,Sitapur,4483992,1397702,886031,3874,102040,827583,89.0,51.0
Uttar Pradesh,Sonbhadra,24.46693268858798,83.06816324951639,200,Sonbhadra,1862559,601988,383720,5149,95582,337048,92.0,53.0
Uttar Pradesh,Sultanpur,26.2846386419753,82.05710456790123,179,Sultanpur,3797117,1300248,939654,5956,233701,839737,98.0,59.0
Uttar Pradesh,Unnao,26.63163990895297,80.636773292868,156,Unnao,3108367,1053063,720521,3476,99466,596317,91.0,57.0
Uttar Pradesh,Varanasi,25.36057088888889,82.82529666666672,197,Varanasi,3676841,1389116,1014787,19214,336056,438935,91.0,65.0
Uttaranchal,Almora,29.683532133676103,79.50165064267351,64,Almora,622506,231604,204893,1830,109876,260056,114.0,70.0
Uttaranchal,Bageshwar,29.98703393393397,79.83954354354357,63,Bageshwar,259898,97546,81937,435,47083,96031,109.0,69.0
Uttaranchal,Chamoli,30.58338611464965,79.56281095541402,57,Chamoli,391605,155395,125161,899,71524,163434,102.0,72.0
Uttaranchal,Champawat,29.29142393939393,80.07720212121217,65,Champawat,259648,102015,75711,548,37725,85202,98.0,68.0
Uttaranchal,Pithoragarh,30.14720631868129,80.34229230769236,62,Pithoragarh,483439,189623,155927,1344,95421,183687,102.0,71.0
Uttaranchal,Tehri Garhwal,30.463700918635173,78.48783792650917,59,Tehri Garhwal,618931,227406,180588,1366,117239,227059,108.0,66.0
Uttaranchal,Udham Singh Nagar,29.02779577677222,79.45629004524895,67,Udham Singh Nagar,1648902,598525,439314,7883,254802,269406,92.0,63.0
Uttaranchal,Uttarkashi,30.968958552036234,78.56880615384617,56,Uttarkashi,330086,128237,86889,602,52621,112148,96.0,65.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339,Bankura,3596674,1299337,933655,4273,334670,900515,96.0,62.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335,Barddhaman,7717563,2918040,2329168,32323,1049943,1364868,95.0,68.0
West Bengal,Birbhum,24.06389342723,87.65153089201888,334,Birbhum,3502404,1201481,956966,5210,333752,831044,96.0,62.0
West Bengal,Dakshin Dinajpur,25.342094363021435,88.69821679819614,331,Dakshin Dinajpur,1676276,596474,487211,2518,168069,390949,96.0,65.0
West Bengal,Darjiling,26.839619571045585,88.33145067024122,327,Darjiling,1846823,717673,597912,10943,297176,303284,97.0,71.0
West Bengal,Haora,22.401674174428507,87.99421176968654,341,Haora,4850029,1942824,1662382,30751,796953,483384,94.0,74.0
West Bengal,Hugli,22.87929264705881,88.00010264705891,338,Hugli,5519145,2211777,1866611,31725,965258,992085,96.0,74.0
West Bengal,Jalpaiguri,26.62642031250004,89.04154375000003,328,Jalpaiguri,3872846,1396622,1102158,9322,382500,798378,95.0,65.0
West Bengal,Kolkata,22.550581481481483,88.3527648148148,342,Kolkata,4496694,1926915,1661222,136618,927602,0,91.0,80.0
West Bengal,Maldah,25.08026802575105,88.17191684549356,332,Maldah,3988845,1152019,934413,5357,297716,830318,94.0,52.0
West Bengal,Murshidabad,24.25950655391121,88.16816860465121,333,Murshidabad,7103807,2177187,1878647,7951,541169,1501066,96.0,57.0
West Bengal,Nadia,23.56410971055088,88.58293034547152,336,Nadia,5167600,1878866,1601689,12787,623729,1081381,95.0,67.0
West Bengal,Puruliya,23.254192328767108,86.3968532876713,340,Puruliya,2930115,1002058,622847,3551,189889,653219,96.0,55.0
West Bengal,Uttar Dinajpur,26.044619165196977,88.23595232216337,330,Uttar Dinajpur,3007134,853495,636172,2883,199307,683981,94.0,50.0
